Defaulted container "hyrax-worker" out of: hyrax-worker, service-wait (init)
=== Bulkrax Imports Cleanup ===
DRY_RUN: false
Started: Thu May 28 19:30:21 UTC 2026

DELETE: /app/samvera/hyrax-webapp/tmp/imports/april/import_1_20230809013023_1/ (14.1 MB, 1023d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/april/1_20230809013023/ (13.1 MB, 1023d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/ccis/import_1_20240529201629_1/ (768.6 MB, 729d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/ccis/1_20240529201629/ (754.7 MB, 729d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/covenant/import_1_20240529204933_1/ (1.65 GB, 729d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/covenant/1_20240529204933/ (1.59 GB, 729d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/crowder/import_1_20240530150631_1/ (1.72 GB, 728d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/crowder/1_20240530150631/ (1.70 GB, 728d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/demo/import_10_20250721201340_52/ (253.8 MB, 311d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/demo/import_11_20250721202517_53/ (253.8 MB, 311d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/demo/import_12_20250721232550_54/ (407.5 KB, 311d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/demo/import_13_20250721232755_55/ (407.5 KB, 311d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/demo/import_14_20250721233533_56/ (407.5 KB, 311d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/demo/import_15_20250721233950_57/ (407.5 KB, 311d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/demo/import_16_20250721234941_58/ (407.5 KB, 311d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/demo/import_17_20250722000424_59/ (517.8 KB, 310d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/demo/import_18_20251104183839_166/ (9.3 MB, 205d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/demo/import_1_20250226182917_1/ (55.0 MB, 456d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/demo/import_3_20250303222625_4/ (240.5 KB, 451d old)
